MegaPatterns logo
Count	Phrase
164	,
107	I
85	you
66	me
54	and
43	[
43	]
42	on
37	a
35	that
35	the
34	my
27	:
27	it
26	wishin'
25	know
25	need
24	love
23	when
21	Drake
21	one
21	to
21	up
19	And
19	You
18	back
18	for
17	?
17	home
17	you're
16	down
16	hold
15	go
15	things
14	'Cause
14	girl
14	in
13	time
12	I'm
12	That
12	do
19	: Drake
16	on me
15	I need
15	going home
15	hold on
14	, you
13	I know
12	[ Chorus
12	that ass
11	, back
11	, where
11	I want
11	when you
10	for you
10	on my
10	you always
9	, ayy
9	know when
9	me 'Cause
9	me I
8	, and
8	Got a
8	I go
8	and I
8	in my
8	it,
7	, I
7	[ Verse
7	do you
7	girl and
7	love me
7	me ?
7	used to
7	you know
7	you love
6	bad things
6	if you're
6	they wishin'
6	wine it
6	yeah,
5	, yea
16	: Drake ]
15	wishin' and wishin'
9	for you always
9	me on my
7	'Cause I want
7	, and I
7	I need a
7	a good girl
7	that ass,
6	, ayy,
6	You used to
6	[ Chorus ]
6	on me I
6	wishin' on me
4	, wait I
4	, yea,
4	, you're the
4	[ Refrain :
4	me I need
4	wine it,
3	, yeah,
3	, yuh [
3	Bring that ass
3	[ Verse 1
3	[ Verse 2
3	for someone else
3	in the Wraith
2	, I see
2	, sometimes I
2	, you You
2	And when you
2	Might go down
2	Wonder if you're
2	[ Bridge :
2	[ Intro :
2	[ Intro ]
2	to the safe
10	up, back up
6	, and I need
6	, where, where
4	, very long time
4	Cause if you're down
4	that ass back !
3	, yea, yea
3	: Drake & Majid
3	: Drake ] I
3	[ Pre-Hook : Drake
2	& Magnolia Shorty ]
2	, you, you
2	, you got me
2	Clap that ass,
2	Majid Al Maskati ]
2	Road, ayy,
2	[ Refrain : Kyla
2	[ Verse 1 ]
2	[ Verse 2 ]
2	else You don't need
2	go, let's go
2	me I don't wanna
10	wishin' and wishin' and wishin'
8	up, back up and
6	Back up, back up
6	[ Chorus : Drake ]
5	since I left the city
4	Where, where, where
2	Now let me see you
2	be real with it,
8	And I'm down for you always
4	Back up, back up and
4	Ever since I left the city
4	I think there's something, baby
4	that ass, bring that ass
3	Oh yeah, very long time
2	! Bring that ass back !
9	Just hold on, we're going home
6	'Cause I want ya, and I
5	up, back up and wine it
4	since I left the city, you
3	It's hard to do these things alone
3	] Ever since I left the city
2	Oh yeah, very long time Back
2	Where, where, where, where
5	] You used to call me on my
4	I want your hot love and emotion endlessly
3	Ever since I left the city, you
3	] Just hold on, we're going home
2	, wait I make sure that north-side eat
6	'Cause you're a good girl and you know it
