MegaPatterns logo
Count	Phrase
164	,
107	I
85	you
66	me
54	and
26	wishin'
25	know
25	need
24	love
15	going home
15	hold on
13	I know
12	that ass
7	you know
7	you love
6	bad things
6	they wishin'
15	wishin' and wishin'
9	for you always
7	a good girl
7	that ass,
6	wishin' on me
3	Bring that ass
10	up, back up
10	wishin' and wishin' and wishin'
8	up, back up and
6	Back up, back up
8	And I'm down for you always
4	Back up, back up and
5	] You used to call me on my
4	I want your hot love and emotion endlessly
6	Just hold on, we're going home ( going home )
8	I know when that hotline bling That can only mean one thing
8	me on my cell phone Late night when you need my love
5	they wishin' and wishin' and wishin' and wishin' They wishin' on me
6	, do you love me ? Are you riding ? Say you'll never ever leave from beside me 'Cause I want
