Count	Phrase
492	.
354	,
30	people
9	years,
8	, 000
8	come from
6	Democrats and Republicans
6	the world.
6	win the future
5	We need to
4	And tonight,
4	men and women
4	of our people
4	the future.
4	to win the
3	I might not
3	Of course,
3	So tonight,
3	We may have
3	a part of
3	a small business
3	against us.
3	believe in the
3	deserve to know
75	( Applause. )
4	Im not willing to
3	Race to the Top
3	That dream is why
3	do big things.
3	in the world.
3	to win the future
3	win the future.
2	As we speak,
2	Democrats and Republicans to
2	I am prepared to
2	I dont know if
2	United States of America
2	We need to teach
2	a government thats more
2	al Qaeda and their
2	be the first to
2	lets make sure that
2	men and women who
2	of our people.
2	of our time.
2	of the past.
2	than we do.
2	the men and women
2	the next five years
2	the winner of the
2	to our deficit.
2	we also have to
2	what sets us apart
4	over the last two years
2	I will veto it.
2	I'm not willing to do
2	I'm not willing to tell
2	We do big things.
2	all across the country.
2	different agencies that deal with
2	it will take time.
2	the home to the worlds
3	step in winning the future is
2	do big things. ( Applause. )
2	in the world. ( Applause. )
2	nation on Earth. ( Applause. )
2	you want to make a difference in the life of
