Count 	Phrase
20696 	,
19120 	the
11769 	of
11765 	and
7448 	:
7026 	.
6842 	that
6445 	to
5077 	;
4565 	And
4446 	they
3674 	in
3641 	unto
3306 	I
3145 	he
3061 	it
2800 	their
2642 	them
2500 	be
2485 	shall
2250 	his
2213 	which
2126 	a
2076 	for
2070 	not
2018 	were
1987 	did
1974 	ye
1772 	all
1770 	have
1767 	had
1754 	people
1676 	my
1662 	God
1644 	came
1579 	was
1565 	Lord
1525 	pass
1518 	with
1421 	this
1370 	is
5725 	, and
3787 	of the
2218 	; and
1476 	to pass
1461 	the Lord
1458 	in the
1391 	came to
1359 	it came
1247 	, that
1206 	And it
1089 	that they
1047 	the land
1008 	and the
997 	to the
969 	behold,
893 	the people
889 	yea,
727 	of God
727 	shall be
705 	, I
686 	that the
677 	and they
664 	of their
661 	, the
661 	the Lamanites
654 	. And
628 	And now
624 	they were
607 	that he
601 	; for
587 	, for
587 	by the
575 	unto you
567 	because of
566 	, which
536 	they did
536 	unto them
533 	them,
519 	that ye
516 	God,
510 	all the
1355 	came to pass
1271 	to pass that
502 	, and the
484 	; yea,
481 	of the Lord
436 	the land of
405 	, yea,
366 	; and they
358 	, and also
346 	the people of
309 	. 1 :
294 	of the land
288 	, that they
285 	, and they
281 	according to the
276 	say unto you
275 	unto you,
273 	I say unto
268 	of God,
254 	; and he
252 	. 5 :
249 	because of the
238 	the Lord,
237 	And now,
220 	. 9 :
219 	, because of
219 	in the land
218 	. 7 :
217 	. 2 :
217 	. 8 :
213 	. 3 :
210 	, and he
210 	. 4 :
205 	out of the
204 	of the Lamanites
203 	, according to
199 	yea, and
196 	, behold,
195 	them, and
188 	, saying :
187 	. 13 :
1353 	it came to pass
1228 	came to pass that
263 	I say unto you
225 	to pass that the
205 	say unto you,
156 	to pass that when
143 	to pass that they
142 	, according to the
137 	the people of Nephi
131 	the children of men
126 	; yea, and
124 	the face of the
122 	of the Lord,
114 	, I say unto
110 	, because of the
108 	, yea, even
106 	of the reign of
104 	the reign of the
103 	the land of Zarahemla
102 	to pass that I
94 	said unto him :
92 	, that they might
91 	to the land of
90 	out of the land
89 	the word of God
88 	I, Nephi,
88 	in the land of
88 	the house of Israel
87 	: 1 And now
82 	of the land,
81 	of the land of
79 	upon the face of
77 	of God, and
74 	unto you, that
73 	, insomuch that they
73 	, yea, and
72 	said unto them :
71 	And now behold,
70 	face of the land
70 	the Lord, and
69 	; for behold,
1227 	it came to pass that
1113 	And it came to pass
199 	I say unto you,
112 	, I say unto you
106 	now it came to pass
100 	of the reign of the
100 	the reign of the judges
99 	year of the reign of
65 	upon the face of the
64 	the face of the land
61 	say unto you, that
60 	it shall come to pass
55 	it came to pass in
55 	out of the land of
53 	came to pass in the
52 	unto the children of men
50 	the land of Zarahemla,
49 	, it came to pass
49 	, my beloved brethren,
49 	I would that ye should
49 	over the people of Nephi
48 	. 4 Nephi 1 :
47 	I say unto you that
47 	of the house of Israel
47 	the face of the earth
47 	to pass that the Lord
46 	the people of Nephi,
41 	Now it came to pass
41 	the children of men,
41 	the people of Nephi.
40 	the Spirit of the Lord
39 	the Holy One of Israel
36 	of the Lord, and
34 	, insomuch that they did
34 	all the face of the
34 	if it so be that
33 	the Lord of the vineyard
33 	the house of Israel,
32 	by the power of the
32 	of the land, and
31 	And now, behold,
1031 	And it came to pass that
215 	it came to pass that the
151 	it came to pass that when
140 	it came to pass that they
99 	it came to pass that I
98 	of the reign of the judges
94 	And now it came to pass
89 	it came to pass that he
89 	now it came to pass that
82 	, I say unto you,
60 	it came to pass that after
59 	I say unto you, that
52 	it came to pass in the
48 	it came to pass that we
43 	And it shall come to pass
40 	, it came to pass that
38 	Now it came to pass that
37 	it came to pass that in
36 	it came to pass that there
35 	it shall come to pass that
34 	And it came to pass in
32 	Behold, I say unto you
32 	upon the face of the land
30 	I say unto you, Nay
29 	the face of the land,
28 	behold, I say unto you
26 	are of the house of Israel
26 	out of the land of Jerusalem
26 	over the people of Nephi.
25 	, I would that ye should
25 	, saith the Lord of Hosts
25 	it came to pass that Alma
25 	upon all the face of the
25 	upon the face of the earth
