MegaPatterns logo
Count	Phrase
52	I
21	,
21	back
19	the
11	It's
10	And
10	wanna
9	[
9	]
9	me
7	even
6	a
5	to
4	?
4	in
3	!
3	I'm
3	ain't
3	is
2	(
2	)
2	and
2	can't
2	feeling
2	need
2	no
2	that
20	I got
9	back,
3	I want
3	[ Verse
3	me ?
2	, I
2	, I'm
2	I ain't
2	ain't gonna
2	everything I
2	in the
2	me [
9	And I don't
4	an old man
2	Hear me ?
13	time I got back
7	I wanna go back
2	I've had it !
8	It's time I got back
4	I wanna go back,
2	I want sugar in my tea
6	back And I don't even know how I got off the track
5	It's time I got back, it's time I got back And I don't even know how I got off the track
4	It's time I got back, it's time I got back And I don't even know how I got off the track I wanna go back
3	It's time I got back, it's time I got back And I don't even know how I got off the track I wanna go back, yeah [
2	back And I don't even know how I got off the track It's time I got back, it's time I got back And I don't even know how I got off the track I wanna go back
3	[ Chorus ] And I don't wanna be an old man anymore It's been a year or two since I was out on the floor Shaking booty, making sweet love all the night It's time I got back to the good life It's time I got back, it's time I got back And I don't even know how I got off the track
2	[ Chorus ] And I don't wanna be an old man anymore It's been a year or two since I was out on the floor Shaking booty, making sweet love all the night It's time I got back to the good life It's time I got back, it's time I got back And I don't even know how I got off the track I wanna go back, yeah [
